id,name,kind,unit,location,subgraph_id
10001,Frozen food; at manufacturer,activity,USD,United States,1
10002,Carbon and graphite products; at manufacturer,activity,USD,United States,1
10003,Petrochemicals; at manufacturer,activity,USD,United States,1
10004,"Mattresses, blinds and shades; at manufacturer",activity,USD,United States,1
10005,Nonresidential building repair and maintanence,activity,USD,United States,1
10006,Ice cream and frozen desserts; at manufacturer,activity,USD,United States,1
10007,Coffee and tea; at manufacturer,activity,USD,United States,1
10008,Insurance carriers,activity,USD,United States,1
10009,Dairies,activity,USD,United States,1
10010,Home cooking appliances; at manufacturer,activity,USD,United States,1
10011,Vehicle metal stamping; at manufacturer,activity,USD,United States,1
10012,"Fiber, yarn, and thread; at manufacturer",activity,USD,United States,1
10013,Wireless telecommunications,activity,USD,United States,1
10014,"Chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds); at manufacturer",activity,USD,United States,1
10015,Salons and barber shops,activity,USD,United States,1
10016,Other concrete products; at manufacturer,activity,USD,United States,1
10017,Pumps and pumping equipment; at manufacturer,activity,USD,United States,1
10018,"Highways, streets, and bridges",activity,USD,United States,1
10019,Coal; at mine,activity,USD,United States,1
10020,Aircraft engines and parts; at manufacturer,activity,USD,United States,1
10021,Wild-caught fish and game; at place of capture,activity,USD,United States,1
10022,Semiconductor machinery; at manufacturer,activity,USD,United States,1
10023,Investigation and security,activity,USD,United States,1
10024,Other support services,activity,USD,United States,1
10025,"Light gauge metal cans, boxes, and containers; at manufacturer",activity,USD,United States,1
10026,Medical laboratories,activity,USD,United States,1
10027,Toiletries; at manufacturer,activity,USD,United States,1
10028,Jewelry and silverware; at manufacturer,activity,USD,United States,1
10029,Paints and coatings; at manufacturer,activity,USD,United States,1
10030,Drinking water and wastewater treatment; at consumer,activity,USD,United States,1
10031,Truck trailers; at manufacturer,activity,USD,United States,1
10032,"Directory, mailing list, and other publishers; at publisher",activity,USD,United States,1
10033,Cheese; at manufacturer,activity,USD,United States,1
10034,Shelving and lockers; at manufacturer,activity,USD,United States,1
10035,Farm machinery and equipment; at manufacturer,activity,USD,United States,1
10036,Small electrical appliances; at manufacturer,activity,USD,United States,1
10037,Urethane and other foam products; at manufacturer,activity,USD,United States,1
10038,Dental equipment and supplies; at manufacturer,activity,USD,United States,1
10039,Lawn and garden equipment; at manufacturer,activity,USD,United States,1
10040,Health care buildings,activity,USD,United States,1
10041,Power boilers and heat exchangers; at manufacturer,activity,USD,United States,1
10042,Heavy duty trucks; at manufacturer,activity,USD,United States,1
10043,Other vehicle parts; at manufacturer,activity,USD,United States,1
10044,Electronic  equipment repair and maintenance,activity,USD,United States,1
10045,"Marketing research and all other miscellaneous professional, scientific, and technical services",activity,USD,United States,1
10046,All other food and drinking places,activity,USD,United States,1
10047,Sports,activity,USD,United States,1
10048,"Plastic bags, films, and sheets; at manufacturer",activity,USD,United States,1
10049,Curtains and linens; at manufacturer,activity,USD,United States,1
10050,"Metal plumbing drains, faucets, valves, and other fittings; at manufacturer",activity,USD,United States,1
10051,Passenger ground transport,activity,USD,United States,1
10052,Light fixtures; at manufacturer,activity,USD,United States,1
10053,Electricity; at consumer,activity,USD,United States,1
10054,Other nonresidential structures,activity,USD,United States,1
10055,Books; at publisher,activity,USD,United States,1
10056,"Community food, housing, and other relief services, including rehabilitation services",activity,USD,United States,1
10057,Well drilling,activity,USD,United States,1
10058,Abrasive products; at manufacturer,activity,USD,United States,1
10059,Dog and cat food; at manufacturer,activity,USD,United States,1
10060,Soap and cleaning compounds; at manufacturer,activity,USD,United States,1
10061,Office administration,activity,USD,United States,1
10062,Snack foods; at manufacturer,activity,USD,United States,1
10063,Metal cutting and forming machine tools; at manufacturer,activity,USD,United States,1
10064,Primary batteries; at manufacturer,activity,USD,United States,1
10065,Pipeline transport,activity,USD,United States,1
10066,Air and gas compressors; at manufacturer,activity,USD,United States,1
10067,Ball and roller bearings; at manufacturer,activity,USD,United States,1
10068,Monetary authorities and depository credit intermediation,activity,USD,United States,1
10069,Lumber and treated lumber; at manufacturer,activity,USD,United States,1
10070,Promoters and agents,activity,USD,United States,1
10071,All other converted paper products; at manufacturer,activity,USD,United States,1
10072,"Welding and Soldering Equipment, Scales and Balances, and other general purpose machinery; at manufacturer",activity,USD,United States,1
10073,Surgical appliance and supplies; at manufacturer,activity,USD,United States,1
10074,Employment services,activity,USD,United States,1
10075,Industrial molds; at manufacturer,activity,USD,United States,1
10076,Other support activities for mining,activity,USD,United States,1
10077,Other engine equipment; at manufacturer,activity,USD,United States,1
10078,Computer storage device readers; at manufacturer,activity,USD,United States,1
10079,Vehicle electrical and electronic equipment; at manufacturer,activity,USD,United States,1
10080,Communication and energy wire and cable; at manufacturer,activity,USD,United States,1
10081,"Speed changers, industrial high-speed drives, and gears; at manufacturer",activity,USD,United States,1
10082,Specialized design,activity,USD,United States,1
10083,Primary copper; at manufacturer,activity,USD,United States,1
10084,Rest of the world adjustment,activity,USD,United States,1
10085,Plywood and veneer; at manufacturer,activity,USD,United States,1
10086,"Home furniture - wood, nonupholstered; at manufacturer",activity,USD,United States,1
10087,Office machinery; at manufacturer,activity,USD,United States,1
10088,Other aircraft parts; at manufacturer,activity,USD,United States,1
10089,"Sugar, candy, and chocolate; at manufacturer",activity,USD,United States,1
10090,Cardboard; at manufacturer,activity,USD,United States,1
10091,Lessors of nonfinancial intangible assets,activity,USD,United States,1
10092,Metal structural products; at manufacturer,activity,USD,United States,1
10093,Schools and vocational buildings,activity,USD,United States,1
10094,Air purification and ventilation equipment; at manufacturer,activity,USD,United States,1
10095,Radio and television,activity,USD,United States,1
10096,Timber and raw forest products; at forest,activity,USD,United States,1
10097,Home refrigerators and freezers; at manufacturer,activity,USD,United States,1
10098,Vehicle repair,activity,USD,United States,1
10099,Sound recording,activity,USD,United States,1
10100,Veterinarians,activity,USD,United States,1
10101,Clothing; at manufacturer,activity,USD,United States,1
10102,"Pharmaceutical products (pills, powders, solutions, etc.); at manufacturer",activity,USD,United States,1
10103,Signal testing instruments; at manufacturer,activity,USD,United States,1
10104,"Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies); at manufacturer",activity,USD,United States,1
10105,Scientific research and development,activity,USD,United States,1
10106,"Special tools, dies, jigs, and fixtures; at manufacturer",activity,USD,United States,1
10107,Wood kitchen cabinets and countertops; at manufacturer,activity,USD,United States,1
10108,"Dry, condensed, and evaporated dairy; at manufacturer",activity,USD,United States,1
10109,Bread and other baked goods; at manufacturer,activity,USD,United States,1
10110,"Metal windows, doors, and architectural products; at manufacturer",activity,USD,United States,1
10111,Synthetic rubber and artificial and synthetic fibers; at manufacturer,activity,USD,United States,1
10112,"Accounting, tax preparation, bookkeeping, and payroll",activity,USD,United States,1
10113,"News syndicates, libraries, archives, Internet publishing and all other information services",activity,USD,United States,1
10114,"Screws, nuts, and bolts; at manufacturer",activity,USD,United States,1
10115,Paper; at manufacturer,activity,USD,United States,1
10116,Full-service restaurants,activity,USD,United States,1
10117,Nursing and community care facilities,activity,USD,United States,1
10118,Propulsion units and parts for space vehicles and guided missiles; at manufacturer,activity,USD,United States,1
10119,Cable and subscription programming,activity,USD,United States,1
10120,Other secondary nonferrous metal products; at manufacturer,activity,USD,United States,1
10121,"Fresh soybeans, canola, flaxseeds, and other oilseeds; at farm",activity,USD,United States,1
10122,Residential building repair and maintanence,activity,USD,United States,1
10123,Business support,activity,USD,United States,1
10124,Home furniture - upholstered; at manufacturer,activity,USD,United States,1
10125,Boats; at manufacturer,activity,USD,United States,1
10126,Wineries and wine; at manufacturer,activity,USD,United States,1
10127,Insurance agencies and brokerages,activity,USD,United States,1
10128,Aircraft; at manufacturer,activity,USD,United States,1
10129,Tobacco products; at manufacturer,activity,USD,United States,1
10130,Office furniture and custom architectural woodwork and millwork; at manufacturer,activity,USD,United States,1
10131,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops; at farm",activity,USD,United States,1
10132,"Metal pipe fittings, ball and roller bearings, industrial patterns, metal bath fixtures, other misc. fabricated metals; at manufacturer",activity,USD,United States,1
10133,Postal service,activity,USD,United States,1
10134,Light bulbs; at manufacturer,activity,USD,United States,1
10135,Rubber tires; at manufacturer,activity,USD,United States,1
10136,All other foods; at manufacturer,activity,USD,United States,1
10137,Elementary and secondary schools,activity,USD,United States,1
10138,Custom computer programming,activity,USD,United States,1
10139,Turbines and turbine generator sets; at manufacturer,activity,USD,United States,1
10140,Environmental and other technical consulting services,activity,USD,United States,1
10141,Fresh fruits and tree nuts; at farm,activity,USD,United States,1
10142,Other retail,activity,USD,United States,1
10143,Child day care,activity,USD,United States,1
10144,Valve and fittings (except for plumbing); at manufacturer,activity,USD,United States,1
10145,Irradiation apparatuses; at manufacturer,activity,USD,United States,1
10146,State and local government,activity,USD,United States,1
10147,Mechanical power transmission equipment; at manufacturer,activity,USD,United States,1
10148,Limited-service restaurants,activity,USD,United States,1
10149,Printed circuit and electronic assembly; at manufacturer,activity,USD,United States,1
10150,Funerary services,activity,USD,United States,1
10151,"Independent artists, writers, and performers",activity,USD,United States,1
10152,Federal government (defense),activity,USD,United States,1
10153,"Water transport (boats, ships, ferries)",activity,USD,United States,1
10154,Lime and gypsum products; at manufacturer,activity,USD,United States,1
10155,"Greenhouse crops, mushrooms, nurseries, and flowers; at farm",activity,USD,United States,1
10156,Unrefined oil and gas; at extraction site,activity,USD,United States,1
10157,"Concrete pipe, bricks, and blocks; at manufacturer",activity,USD,United States,1
10158,Industrial process variable instruments; at manufacturer,activity,USD,United States,1
10159,"Dolls, toys, and games; at manufacturer",activity,USD,United States,1
10160,Other basic inorganic chemicals; at manufacturer,activity,USD,United States,1
10161,Plastics and rubber industry machinery; at manufacturer,activity,USD,United States,1
10162,"Veneer, plywood, and engineered wood; at manufacturer",activity,USD,United States,1
10163,Compressed Gases; at manufacturer,activity,USD,United States,1
10164,Wiring devices; at manufacturer,activity,USD,United States,1
10165,Household employees,activity,USD,United States,1
10166,Storage batteries; at manufacturer,activity,USD,United States,1
10167,Software,activity,USD,United States,1
10168,Fertilizers; at manufacturer,activity,USD,United States,1
10169,Home healthcare,activity,USD,United States,1
10170,Plastics; at manufacturer,activity,USD,United States,1
10171,"Ammunition, arms, ordnance, and related accessories; at manufacturer",activity,USD,United States,1
10172,Printing support; at manufacturer,activity,USD,United States,1
10173,Flavored drink concentrates; at manufacturer,activity,USD,United States,1
10174,Outpatient healthcare,activity,USD,United States,1
10175,"Sanitary paper (tissues, napkins, diapers, etc.); at manufacturer",activity,USD,United States,1
10176,"Civic, social, professional, and similar organizations",activity,USD,United States,1
10177,Scenic and sightseeing transportation and support activities for transportation,activity,USD,United States,1
10178,Packaged poultry; at manufacturer,activity,USD,United States,1
10179,"Metal hinges, keys, lock, and other hardware; at manufacturer",activity,USD,United States,1
10180,Natural gas; at consumer,activity,USD,United States,1
10181,Breakfast cereals; at manufacturer,activity,USD,United States,1
10182,Individual and family services,activity,USD,United States,1
10183,Secondary steel products; at manufacturer,activity,USD,United States,1
10184,Sporting and athletic goods; at manufacturer,activity,USD,United States,1
10185,"Copper, nickel, lead, and zinc; at mine",activity,USD,United States,1
10186,Internet publishing and broadcasting,activity,USD,United States,1
10187,"Fresh vegetables, melons, and potatoes; at farm",activity,USD,United States,1
10188,"Machinery for the paper, textile, food or other industries (except semiconductor machinery); at manufacturer",activity,USD,United States,1
10189,"Satellite, telecommunications resellers, and all other telecommunications",activity,USD,United States,1
10190,Consumer goods and general rental centers,activity,USD,United States,1
10191,Material handling equipment; at manufacturer,activity,USD,United States,1
10192,Flours and malts; at manufacturer,activity,USD,United States,1
10193,Other petroleum and coal products; at manufacturer,activity,USD,United States,1
10194,"Blood sugar, pregnancy, and other diagnostic test kits; at manufacturer",activity,USD,United States,1
10195,Switchgear and switchboards; at manufacturer,activity,USD,United States,1
10196,"Iron, gold, silver, and other metal ores; at mine",activity,USD,United States,1
10197,Noncomparable imports,activity,USD,United States,1
10198,"Metal coatings, engravings, and heat treatments; at manufacturer",activity,USD,United States,1
